City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Bambous Virieux,MU,-20.34,57.76,73.4,78,40,8.05,scattered clouds
111,Nanakuli,US,21.39,-158.15,84.2,70,1,12.75,clear sky
112,Jamestown,US,42.1,-79.24,60.8,38,1,10.29,clear sky
113,Tura,IN,25.52,90.22,58.91,58,0,3.98,clear sky
114,East London,ZA,-33.02,27.91,69.93,77,54,7.23,broken clouds
115,Pangody,RU,65.85,74.49,10.35,96,96,14.58,overcast clouds
116,Channel-Port Aux Basques,CA,47.57,-59.14,44.46,82,100,28.07,overcast clouds
117,Tarakan,ID,3.3,117.63,80.44,82,73,3.47,broken clouds
118,San Vicente,AR,-26.62,-54.13,61.63,48,1,6.17,light rain
119,Hofn,IS,64.25,-15.21,44.24,73,16,43.17,few clouds
120,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,35.6,93,20,2.24,few clouds
121,Anshun,CN,26.25,105.93,50.22,90,100,10.6,overcast clouds
122,Nazareno,MX,25.38,-103.42,80.6,18,20,8.25,few clouds
123,Ewa Beach,US,21.32,-158.01,84.2,70,1,12.75,clear sky
124,Omsukchan,RU,62.53,155.8,-10.61,84,100,4.97,overcast clouds
125,Uige,AO,-7.61,15.06,67.98,96,100,2.59,moderate rain
126,Butaritari,KI,3.07,172.79,82.31,75,63,8.59,broken clouds
127,Herat,AF,34.5,62.0,40.46,66,0,1.88,clear sky
128,Asaba,NG,6.2,6.73,76.14,91,55,6.2,broken clouds
129,Lewistown,US,40.6,-77.57,53.6,66,1,2.3,clear sky
130,Esperance,AU,-33.87,121.9,57.2,82,98,10.29,overcast clouds
131,Atbasar,KZ,51.8,68.33,37.0,77,95,9.73,overcast clouds
132,Yumen,CN,40.28,97.2,36.23,60,0,21.3,clear sky
133,Hazorasp,UZ,41.32,61.07,37.4,55,0,4.7,clear sky
134,Indianola,US,41.36,-93.56,68.0,42,1,3.36,clear sky
135,Bubaque,GW,11.28,-15.83,83.97,73,6,9.8,clear sky
136,Piacabucu,BR,-10.41,-36.43,77.63,84,29,12.15,scattered clouds
137,Turukhansk,RU,65.82,87.98,-3.59,85,45,5.93,scattered clouds
138,Chokwe,MZ,-24.53,32.98,75.0,81,100,7.43,moderate rain
139,Mazamari,PE,-11.33,-74.53,81.27,50,88,2.19,light rain
140,Kiunga,PG,-6.12,141.29,81.05,79,100,1.19,moderate rain
141,Lorengau,PG,-2.02,147.27,81.09,76,100,2.89,overcast clouds
142,Huangchuan,CN,32.13,115.04,59.83,63,78,4.54,broken clouds
143,Talnakh,RU,69.49,88.4,-2.2,84,40,6.71,scattered clouds
144,Ponta Do Sol,PT,32.67,-17.1,57.2,67,20,6.93,few clouds
145,Sitka,US,57.05,-135.33,37.4,59,20,17.22,few clouds
146,Mattawa,US,46.74,-119.9,53.6,87,90,6.93,moderate rain
147,San Cristobal,VE,7.77,-72.22,82.4,74,40,5.82,thunderstorm
148,Miandrivazo,MG,-19.52,45.47,80.24,55,27,1.74,scattered clouds
149,Puri,IN,19.8,85.85,69.8,88,0,8.34,mist
150,Babanka,UA,48.71,30.45,41.2,88,2,9.37,clear sky
151,Gweta,BW,-20.18,25.23,75.97,57,9,10.38,clear sky
152,Buala,SB,-8.14,159.59,85.3,64,95,1.7,overcast clouds
153,Agadez,NE,19.75,10.25,66.31,26,3,10.92,clear sky
154,Sri Aman,MY,1.24,111.46,75.2,100,96,1.05,moderate rain
155,Moundsville,US,39.92,-80.74,62.6,36,1,8.05,clear sky
156,Nisia Floresta,BR,-6.09,-35.21,80.6,78,20,8.05,few clouds
157,Portland,US,45.52,-122.68,53.01,94,100,1.01,moderate rain
158,Mayo,US,38.89,-76.51,60.8,87,1,6.93,clear sky
159,Kisarazu,JP,35.37,139.92,59.0,58,75,6.93,broken clouds
160,Norman Wells,CA,65.28,-126.83,-2.2,84,20,1.52,few clouds
161,Oyek,RU,52.59,104.46,28.4,86,40,2.24,light shower snow
162,Chernyshevskiy,RU,63.01,112.47,-8.05,91,47,5.23,scattered clouds
163,Aleksandrov Gay,RU,50.15,48.57,49.15,64,99,5.3,overcast clouds
164,Dudinka,RU,69.41,86.18,-2.2,84,40,6.71,scattered clouds
165,Leningradskiy,RU,69.38,178.42,31.89,98,100,22.93,overcast clouds
166,Puerto Madryn,AR,-42.77,-65.04,61.9,41,0,5.88,clear sky
167,Mananjary,MG,-21.22,48.33,73.24,88,66,9.37,light rain
