City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Fortuna,US,66.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
95,Bluff,NZ,51.04,clear sky,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
96,Pulandian,CN,59.0,light rain,39.4,121.97,HR East Hotel
97,Conde,BR,78.8,few clouds,-7.26,-34.91,Pousada Beija Flor
99,Ambilobe,MG,71.73,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
101,Maceio,BR,75.2,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
102,Alexandria,EG,71.6,scattered clouds,31.22,29.96,Royal Crown Hotel
103,Muscle Shoals,US,62.6,clear sky,34.74,-87.67,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
104,Nantucket,US,59.0,clear sky,41.28,-70.1,Jared Coffin House
110,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
112,Jamestown,US,60.8,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
113,Tura,IN,58.91,clear sky,25.52,90.22,Hotel RIKMAN Continental
114,East London,ZA,69.93,broken clouds,-33.02,27.91,Tu Casa
118,San Vicente,AR,61.63,light rain,-26.62,-54.13,Complejo Turístico Farelluk
121,Anshun,CN,50.22,overcast clouds,26.25,105.93,安顺麦吉风格酒店
125,Uige,AO,67.98,moderate rain,-7.61,15.06,Juliao Pereira
128,Asaba,NG,76.14,broken clouds,6.2,6.73,Crimson Suite Hotels
129,Lewistown,US,53.6,clear sky,40.6,-77.57,Quality Inn & Suites
130,Esperance,AU,57.2,overcast clouds,-33.87,121.9,Hospitality Esperance
134,Indianola,US,68.0,clear sky,41.36,-93.56,Quality Inn Indianola
136,Piacabucu,BR,77.63,scattered clouds,-10.41,-36.43,Piaçabuçu News
138,Chokwe,MZ,75.0,moderate rain,-24.53,32.98,Complexo Sonho Real
142,Huangchuan,CN,59.83,broken clouds,32.13,115.04,Guangzhou International Hotel
144,Ponta Do Sol,PT,57.2,few clouds,32.67,-17.1,Hotel do Campo
146,Mattawa,US,53.6,moderate rain,46.74,-119.9,Sun & Sand Mobile Home Park
149,Puri,IN,69.8,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
151,Gweta,BW,75.97,clear sky,-20.18,25.23,Gweta Lodge
154,Sri Aman,MY,75.2,moderate rain,1.24,111.46,Seri Simanggang Hotel
155,Moundsville,US,62.6,clear sky,39.92,-80.74,Sleep Inn & Suites
157,Portland,US,53.01,moderate rain,45.52,-122.68,The Bidwell Marriott Portland
158,Mayo,US,60.8,clear sky,38.89,-76.51,Resorts Resource Group International
159,Kisarazu,JP,59.0,broken clouds,35.37,139.92,季の湯温泉 木更津富士屋季眺
166,Puerto Madryn,AR,61.9,clear sky,-42.77,-65.04,Hotel Tolosa
167,Mananjary,MG,73.24,light rain,-21.22,48.33,Vahiny Lodge
168,Flinders,AU,64.0,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
169,Richards Bay,ZA,71.91,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
170,Puerto Del Rosario,ES,69.8,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
171,Riyadh,SA,60.8,clear sky,24.69,46.72,InterContinental Riyadh
175,Lasa,IT,52.0,clear sky,46.62,10.7,Pension Feldgärtenhof
177,San Vicente De Canete,PE,63.1,scattered clouds,-13.08,-76.38,Hotel Konford
178,Seoul,KR,50.0,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
181,Horta,PT,59.72,scattered clouds,38.53,-28.63,Hotel do Canal | Horta - Faial
183,Victoria,HK,72.0,clear sky,22.29,114.16,Mini Hotel Central
185,Faanui,PF,79.63,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Nanzhou,CN,57.83,broken clouds,29.36,112.4,兴禹国际大酒店
187,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
189,Hamilton,US,61.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
191,Port Elizabeth,ZA,62.6,clear sky,-33.92,25.57,39 On Nile Guest House
192,Geraldton,AU,75.2,clear sky,-28.77,114.6,Broadwater Mariner Resort
196,Gidam,IN,66.27,clear sky,18.98,81.4,Dhanshree Lodge And DormItory
197,Ghazipur,IN,62.83,clear sky,25.58,83.57,Gov. City Inter College Hostel
199,Weinan,CN,55.0,clear sky,34.5,109.51,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
200,Rocha,UY,53.62,scattered clouds,-34.48,-54.33,Beleza Pura B&B
